Simulacion,Posicion Final
1,-22
2,-46
3,38
4,-24
5,-52
6,-20
7,-6
8,24
9,6
10,-6
11,-72
12,14
13,10
14,-24
15,36
16,-28
17,-24
18,62
19,-22
20,46
21,16
22,60
23,10
24,8
25,-56
26,-26
27,-58
28,-14
29,44
30,-6
31,60
32,-46
33,34
34,38
35,28
36,-20
37,-14
38,-14
39,2
40,24
41,-54
42,8
43,-24
44,-12
45,-50
46,-8
47,-10
48,-8
49,-26
50,18
51,4
52,-26
53,-6
54,-6
55,-14
56,22
57,4
58,-26
59,-28
60,-26
61,82
62,-14
63,20
64,22
65,52
66,-18
67,2
68,-14
69,-30
70,12
71,8
72,46
73,0
74,-14
75,-6
76,44
77,-12
78,58
79,-14
80,-10
81,20
82,28
83,74
84,-16
85,62
86,2
87,0
88,-18
89,-18
90,-52
91,10
92,6
93,-32
94,22
95,8
96,20
97,-62
98,4
99,-12
100,8
