Simulacion,X Final,Y Final
1,-31,11
2,3,-5
3,7,-5
4,4,-24
5,-10,-36
6,-22,-4
7,-47,-51
8,0,-2
9,11,17
10,53,-15
11,-6,-10
12,7,-17
13,13,17
14,-10,-6
15,28,12
16,-18,-10
17,2,-6
18,-31,11
19,-9,-35
20,-3,-9
21,0,0
22,0,-12
23,11,11
24,30,-6
25,26,46
26,13,35
27,3,-15
28,-35,-33
29,-16,16
30,-47,1
31,14,22
32,-33,-25
33,47,27
34,5,-39
35,-2,-6
36,-2,-26
37,-31,-37
38,13,19
39,17,-21
40,-6,16
41,19,-25
42,-32,12
43,-2,-10
44,14,30
45,1,-41
46,4,28
47,71,17
48,-4,-16
49,15,11
50,9,-13
51,8,-20
52,23,-31
53,9,-21
54,9,-11
55,7,3
56,1,7
57,-16,-62
58,-33,63
59,-20,-26
60,27,-5
61,9,3
62,-3,43
63,12,20
64,9,77
65,-12,-6
66,9,-9
67,-7,-37
68,27,-13
69,13,-1
70,2,-20
71,-20,-2
72,-21,19
73,-12,-26
74,-11,35
75,-9,-37
76,-38,-18
77,28,-2
78,11,-41
79,19,3
80,-31,9
81,-12,14
82,12,-18
83,-7,25
84,12,-8
85,13,-15
86,-25,-7
87,12,-40
88,-3,3
89,-23,-5
90,18,-30
91,49,5
92,5,19
93,0,-18
94,17,-5
95,-10,-24
96,-4,4
97,1,-15
98,22,-38
99,-2,-8
100,22,-8
