Simulacion,X Final,Y Final,Z Final
1,-10,-4,4
2,-23,-17,-6
3,6,37,41
4,9,15,-10
5,-26,-9,-41
6,6,-5,-21
7,-45,26,-17
8,-19,14,19
9,-21,1,24
10,35,5,2
11,-18,-26,-14
12,-2,-4,14
13,-8,2,20
14,18,4,-4
15,27,-15,6
16,-9,-22,-19
17,25,9,-8
18,1,40,33
19,-15,-3,-22
20,16,13,19
21,-19,-12,-7
22,0,19,-7
23,15,3,-16
24,35,-10,-11
25,30,-47,-9
26,-8,-34,20
27,-5,-24,11
28,3,6,-15
29,0,25,17
30,-11,32,7
31,-21,5,8
32,-26,-3,15
33,24,-12,4
34,-6,26,0
35,7,9,-6
36,-32,0,26
37,-3,24,-3
38,5,-5,14
39,29,-16,1
40,11,4,-3
41,11,-18,-17
42,-23,-1,-10
43,-3,-2,-9
44,16,-21,9
45,14,-6,-20
46,36,-8,24
47,30,-29,25
48,2,-5,-25
49,18,-12,10
50,0,16,14
51,-2,0,-8
52,-17,-6,-17
53,-15,-14,-31
54,22,10,4
55,41,0,-15
56,6,2,8
57,-16,30,-42
58,-6,-22,30
59,6,4,-6
60,-37,-15,32
61,-6,6,-22
62,-2,-20,46
63,-4,3,33
64,13,-17,28
65,-19,-5,-14
66,20,7,7
67,20,10,-12
68,9,-12,17
69,-1,-10,25
70,9,7,-28
71,-6,8,-22
72,-20,22,24
73,-11,20,-7
74,8,5,29
75,11,10,-49
76,1,35,4
77,16,-4,0
78,-42,21,11
79,-2,-15,-5
80,-9,-4,-21
81,-26,-2,14
82,22,15,-7
83,-36,10,16
84,23,-3,0
85,11,18,15
86,-27,23,36
87,-14,7,-21
88,4,-17,-13
89,-11,-8,-9
90,19,3,0
91,-5,-22,1
92,13,-2,1
93,4,18,-2
94,-15,-5,20
95,12,9,21
96,7,-4,-17
97,25,-13,-6
98,8,9,-31
99,5,17,4
100,24,0,4
